GROUP	Size	Phylum	Order	Phylum_order	Classification
Otu00001	707292	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00002	549749	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00003	237428	Actinobacteria	Gardnerella	04_Actinobacteria	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Gardnerella(100);
Otu00004	122363	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00005	107502	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00006	88618	Fusobacteria	Leptotrichiaceae	07_Fusobacteria	Bacteria(100);Fusobacteria(100);Fusobacteria(100);Fusobacteriales(100);Leptotrichiaceae(100);unclassified(67);
Otu00007	84661	Bacteroidetes	Prevotella	05_Bacteroidetes	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu00008	46503	Actinobacteria	Coriobacteriaceae	03_Actinobacteria	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Atopobium(96);
Otu00009	28480	Firmicutes	Saccharofermentans	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Saccharofermentans(100);
Otu00010	27377	Firmicutes	Megasphaera	02_Firmicutes	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu00011	19988	Bacteroidetes	Prevotella	05_Bacteroidetes	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu00012	18349	Firmicutes	Finegoldia	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Finegoldia(100);
Otu00013	18237	Tenericutes	Mycoplasma	08_Tenericutes	Bacteria(100);Tenericutes(100);Mollicutes(100);Mycoplasmatales(100);Mycoplasmataceae(100);Mycoplasma(100);
Otu00014	17364	Bacteroidetes	Prevotella	05_Bacteroidetes	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu00015	16777	Bacteroidetes	Prevotella	05_Bacteroidetes	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu00016	16360	Firmicutes	Peptoniphilus	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Peptoniphilus(100);
Otu00017	15641	Firmicutes	Staphylococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu00018	15607	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00019	13366	Firmicutes	Streptococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu00020	13237	Firmicutes	Lactobacillus	01_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu00021	12128	Firmicutes	Dialister	02_Firmicutes	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu00022	10175	Firmicutes	Anaerococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);
Otu00023	9744	Firmicutes	Anaerococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);
Otu00024	9563	Firmicutes	Streptococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu00025	9532	Firmicutes	Saccharofermentans	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Saccharofermentans(100);
Otu00026	7619	Firmicutes	Enterococcus	02_Firmicutes	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu00027	6569	Actinobacteria	Coriobacteriaceae	04_Actinobacteria	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);unclassified(100);
Otu00028	6299	Firmicutes	Parvimonas	02_Firmicutes	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Parvimonas(100);
