Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
BellExtractionControl	0	0.413173653	0.023952096	0.05988024	0.011976048	0.041916168	0.185628743	0.107784431	0.017964072	0	0.005988024	0.023952096	0	0	0	0	0	0.005988024	0	0	0.005988024	0	0	0.005988024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005988024	0	0.02994012	0	0.023952096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017964072	0	0.011976048	Control	CONT_0	na
A7130B	0	0.941341019	0.000339069	0.007713826	0	0.02492159	0	0	0	0	0	0	0.010256845	0	0	0	0	8.48E-05	0	0	0	0	0.000254302	0	0.002712554	0	0	0	0	0	0	0	0	0	0	0	0	0.005509875	0.000169535	0	0	0.000169535	0	0	0	0	0	0	0	8.48E-05	0	0	0	0	0	0	0	0	0	0	0	A7130	PAIR_A	Mother
A71301	1	0.972799826	0.000325751	0	0	0.01417015	0	0	0	0	0	0	0	0	0	0	0.000271459	0.000434334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162875	0	0	0	0	0	0	0.000108584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A7130	PAIR_A	Mother
A71302	2	0.99424793	0.000268788	0	0	0.002365337	0	0	0	0	0.000161273	0	0.000107515	0	0	0	0.000161273	0.001290184	0	0	0	0	5.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107515	0	0	0.000376304	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38E-05	5.38E-05	0	A7130	PAIR_A	Mother
A71303	3	0.990568443	0.000109246	3.64E-05	0	0.003423036	0	0	0	0	0	0	0.000327738	0	3.64E-05	0	0.000436983	0.001383781	0	0	0	0	0.000254907	3.64E-05	0	0	0	0	0	0	0	0	0	3.64E-05	0	0	0	0.000109246	0.000946797	0	0	0	0	0	0.000983213	0	0	0	0.000109246	0	0	0	0	0	0	0	0	7.28E-05	7.28E-05	0	0	A7130	PAIR_A	Mother
1401AB	0	0.442446043	0.000121936	0.345201805	0.177783197	0.001097427	0	0.000365809	0.000365809	0	0	0	0.00067065	0	0	0	0.000914523	0.00067065	0	0	0.018412389	6.10E-05	0	0.00067065	0	0	0	0	0	0	0	0	0	0.001463236	6.10E-05	0	0.000182905	6.10E-05	0	0	0.000182905	0.000243873	0	0.000243873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.10E-05	0	0	1401A	PAIR_A	Daughter
1401A1	1	0.172899036	0	0.685052155	0.09358394	0.000393623	0	0.000295217	0	0	0	0	0	0	0	0	0	0.001328479	0	0	0.041330447	0.000295217	0	0.000295217	0	0	0	0	0	0	0	0	0	0.000639638	0	0	0	0	0	0	0	4.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401A	PAIR_A	Daughter
1401A2	2	0.400259172	0	0.415242569	0.10383089	0.000728922	0	0.004049567	0.000242974	0	0	0	0.001052887	0	8.10E-05	0	0.002348749	0.012796631	0	0.000161983	0.026403175	0.002024783	0	0.001781809	0	0	0	0	0	0	0	0.000161983	0.000323965	0.003401636	0.000323965	0	0.000242974	0.000161983	0.001052887	0	8.10E-05	0.000485948	0	0.000485948	0	0	0	0	0	0	0.000161983	0	0	0	0	0	0	0	0.000890905	0	0.000323965	1401A	PAIR_A	Daughter
1401A3	3	0.342540741	0.002642673	0.460517209	0.06027811	0.002013465	0	0.010130246	0	0	0	0	0.012458315	0	0	0	0.007865098	0.0048449	0	0	0.044925439	0.009375197	0.000251683	0.003271881	0	0	0	0	0	0	0	0.000377525	0	0.011074058	0.00320896	0	6.29E-05	0.000440445	0.001824703	0	0	0.00081797	0.000692129	0.000943812	0	0	0	0	0	0.000629208	0	0	0	0	0	0	0	0	6.29E-05	0	0.000377525	1401A	PAIR_A	Daughter
B8231B	0	0.958353748	0.000489956	0	0.000139987	0	0	0	0	0	0	0	0	0	0	0	0	0.000209981	0	0	0	0	0	0	0.000769931	0	0.007979282	0	0	0	0.029327361	0	0.000139987	0	0	0	0.000419962	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B8231	PAIR_B	Mother
B82311	1	0.97980001	0.003115421	0	0	0	0	0.000150746	0	0	0	0.000452239	0	0	0	0	0.000100497	0	0	0	0	0	0	0	0.000954726	0	0.00753731	0	0	0	0.00592935	0	0	0	0	0	0.000251244	0	0	0	0	0	0	0	0.000100497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B8231	PAIR_B	Mother
