Subject	Sample	Pair
1401A	1401AB	PAIR_A
1401A	1401A1	PAIR_A
1401A	1401A2	PAIR_A
1401A	1401A3	PAIR_A
A7130	A7130B	PAIR_A
A7130	A71301	PAIR_A
A7130	A71302	PAIR_A
A7130	A71303	PAIR_A
B8231	B8231B	PAIR_B
B8231	B82311	PAIR_B
B8231	B82312	PAIR_B
B8231	B82313	PAIR_B
B8231	B82314	PAIR_B
4738B	4738BB	PAIR_B
4738B	4738B1	PAIR_B
4738B	4738B2	PAIR_B
4738B	4738B3	PAIR_B
4738B	4738B4	PAIR_B
2578D	2578DB	PAIR_D
2578D	2578D1	PAIR_D
2578D	2578D2	PAIR_D
2578D	2578D3	PAIR_D
D6446	D6446B	PAIR_D
D6446	D64461	PAIR_D
D6446	D64462	PAIR_D
D6446	D64463	PAIR_D
D6446	D64464	PAIR_D
E4344	E4344B	PAIR_E
9385E	9385EB	PAIR_E
3691F	3691FB	PAIR_F
3691F	3691F1	PAIR_F
3691F	3691F2	PAIR_F
3691F	3691F3	PAIR_F
F7086	F7086B	PAIR_F
F7086	F70861	PAIR_F
F7086	F70862	PAIR_F
F7086	F70863	PAIR_F
8911J	8911JB	PAIR_J
8911J	8911J1	PAIR_J
8911J	8911J2	PAIR_J
8911J	8911J3	PAIR_J
8911J	8911J4	PAIR_J
J6329	J6329B	PAIR_J
J6329	J63291	PAIR_J
J6329	J63292	PAIR_J
J6329	J63293	PAIR_J
J6329	J63294	PAIR_J
9565L	9565LB	PAIR_L
9565L	9565L1	PAIR_L
9565L	9565L2	PAIR_L
9565L	9565L3	PAIR_L
9565L	9565L4	PAIR_L
L8895	L8895B	PAIR_L
L8895	L88951	PAIR_L
L8895	L88952	PAIR_L
L8895	L88953	PAIR_L
L8895	L88954	PAIR_L
3946N	3946NB	PAIR_N
3946N	3946N1	PAIR_N
3946N	3946N2	PAIR_N
3946N	3946N3	PAIR_N
3946N	3946N4	PAIR_N
N8418	N8418B	PAIR_N
N8418	N84181	PAIR_N
N8418	N84182	PAIR_N
N8418	N84183	PAIR_N
N8418	N84184	PAIR_N
4302P	4302PB	PAIR_P
4302P	4302P1	PAIR_P
4302P	4302P2	PAIR_P
4302P	4302P3	PAIR_P
4302P	4302P4	PAIR_P
P8982	P8982B	PAIR_P
P8982	P89821	PAIR_P
P8982	P89822	PAIR_P
P8982	P89823	PAIR_P
P8982	P89824	PAIR_P
5251Q	5251QB	PAIR_Q
5251Q	5251Q1	PAIR_Q
5251Q	5251Q2	PAIR_Q
5251Q	5251Q3	PAIR_Q
5251Q	5251Q4	PAIR_Q
Q5519	Q5519B	PAIR_Q
Q5519	Q55191	PAIR_Q
Q5519	Q55192	PAIR_Q
Q5519	Q55193	PAIR_Q
Q5519	Q55194	PAIR_Q
6806S	6806SB	PAIR_S
6806S	6806S1	PAIR_S
6806S	6806S2	PAIR_S
6806S	6806S3	PAIR_S
6806S	6806S4	PAIR_S
S5888	S5888B	PAIR_S
S5888	S58881	PAIR_S
S5888	S58882	PAIR_S
S5888	S58883	PAIR_S
S5888	S58884	PAIR_S
6136T	6136TB	PAIR_T
6136T	6136T1	PAIR_T
6136T	6136T2	PAIR_T
6136T	6136T3	PAIR_T
T4942	T4942B	PAIR_T
T4942	T49421	PAIR_T
T4942	T49422	PAIR_T
T4942	T49423	PAIR_T
5005U	5005UB	PAIR_U
U1240	U1240B	PAIR_U
Control	BellExtractionControl	CONT_0
